filename,width,height,class,xmin,ymin,xmax,ymax
136.jpg,800,600,crack,1,381,411,587
137.jpg,380,312,pothole,42,199,113,235
137.jpg,380,312,pothole,112,207,184,260
137.jpg,380,312,pothole,192,183,269,225
137.jpg,380,312,pothole,148,120,187,152
137.jpg,380,312,pothole,202,128,247,154
137.jpg,380,312,pothole,287,172,331,212
138.jpg,368,206,pothole,33,109,272,202
139.jpg,750,519,pothole_water_m,30,288,304,410
139.jpg,750,519,pothole_water,174,417,349,503
139.jpg,750,519,pothole_water,421,338,525,411
14.jpg,1075,375,pothole_water,244,240,701,375
140.jpg,800,600,pothole_water,270,221,549,381
141.jpg,400,206,pothole_water,215,64,256,94
141.jpg,400,206,pothole_water,181,153,237,196
141.jpg,400,206,pothole_water,315,8,400,51
141.jpg,400,206,pothole_water,177,27,230,54
142.jpg,700,525,damage,47,142,468,470
143.jpg,446,301,pothole_water,265,150,388,219
143.jpg,446,301,pothole_water,1,124,161,187
143.jpg,446,301,pothole_water,151,107,218,135
144.jpg,768,1024,pothole_water,75,431,557,914
144.jpg,768,1024,pothole_water,189,55,532,266
145.jpg,320,294,pothole,93,239,191,278
145.jpg,320,294,pothole,220,231,320,280
145.jpg,320,294,pothole,21,169,109,206
145.jpg,320,294,damage,28,112,223,154
146.jpg,600,400,pothole_water,143,248,234,286
146.jpg,600,400,pothole_water,261,266,353,327
146.jpg,600,400,pothole_water,10,256,154,324
147.jpg,810,455,pothole,152,275,652,455
147.jpg,810,455,damage,512,136,803,209
147.jpg,810,455,damage,275,108,406,193
148.jpg,800,600,pothole,270,237,559,439
148.jpg,800,600,pothole,303,51,549,146
148.jpg,800,600,pothole,497,410,788,595
149.jpg,1000,666,pothole,72,478,304,594
149.jpg,1000,666,crack,278,461,486,639
149.jpg,1000,666,crack,89,572,346,666
15.jpg,800,600,pothole,162,98,579,378
150.jpg,640,360,pothole_water,98,195,567,294
151.jpg,200,150,pothole_water,13,55,152,132
152.jpg,700,466,pothole,332,330,594,447
153.jpg,300,200,pothole,66,52,245,154
154.jpg,640,268,pothole,84,125,545,227
155.jpg,260,260,pothole,1,95,224,219
156.jpg,759,422,pothole_water,304,332,463,422
156.jpg,759,422,pothole_water_m,451,192,748,312
156.jpg,759,422,pothole_water,434,87,633,214
157.jpg,534,401,pothole_water,14,81,526,320
158.jpg,999,473,pothole_water,791,162,864,254
158.jpg,999,473,pothole_water,279,113,392,232
158.jpg,999,473,pothole_water_m,9,177,215,294
158.jpg,999,473,pothole_water,859,387,949,455
159.jpg,620,411,pothole,187,178,357,229
159.jpg,620,411,damage,357,191,589,366
159.jpg,620,411,pothole,448,122,591,171
159.jpg,620,411,crack,174,237,335,313
16.jpg,730,430,pothole_water,342,179,653,330
16.jpg,730,430,pothole_water,131,119,324,213
16.jpg,730,430,pothole_water,330,64,514,148
160.jpg,620,387,pothole_water,130,117,451,187
160.jpg,620,387,crack,17,104,200,160
161.jpg,1080,675,pothole_water,249,368,908,650
162.jpg,1019,521,pothole,370,237,783,489
162.jpg,1019,521,pothole,355,54,507,102
163.jpg,670,440,pothole,287,171,558,264
163.jpg,670,440,pothole,33,52,144,142
163.jpg,670,440,pothole,153,6,287,71
163.jpg,670,440,damage,82,128,220,216
164.jpg,1632,1224,damage,274,467,1399,964
165.jpg,885,590,damage,298,273,458,388
165.jpg,885,590,damage,538,213,676,288
165.jpg,885,590,damage,39,271,209,336
165.jpg,885,590,damage,1,426,211,533
166.jpg,746,400,damage,179,168,521,315
166.jpg,746,400,damage,333,67,540,166
166.jpg,746,400,damage,506,170,706,277
166.jpg,746,400,damage,424,288,738,400
167.jpg,400,267,damage,314,127,400,215
167.jpg,400,267,damage,10,130,96,194
167.jpg,400,267,damage,78,71,170,129
167.jpg,400,267,damage,207,17,337,97
167.jpg,400,267,damage,88,12,184,54
168.jpg,1200,800,damage,337,275,844,704
169.jpg,1140,754,damage,516,620,766,726
169.jpg,1140,754,damage,812,631,975,754
169.jpg,1140,754,damage,345,485,549,594
169.jpg,1140,754,damage,1,424,142,491
17.jpg,667,458,pothole_water,164,222,416,369
17.jpg,667,458,pothole_water,412,204,667,425
17.jpg,667,458,pothole_water,361,78,517,144
17.jpg,667,458,pothole_water,1,201,127,296
170.jpg,2996,1680,damage,612,1245,1677,1580
170.jpg,2996,1680,damage,1383,722,2200,1045
170.jpg,2996,1680,damage,1771,1210,2771,1528
170.jpg,2996,1680,damage,112,663,1195,922
170.jpg,2996,1680,damage,2265,598,2883,1151
171.jpg,639,360,pothole_water,215,185,334,234
171.jpg,639,360,pothole_water,42,244,226,328
171.jpg,639,360,pothole_water,180,301,331,355
172.jpg,450,298,pothole_water,240,161,361,297
172.jpg,450,298,pothole_water,11,1,156,62
173.jpg,500,334,pothole_water,172,210,359,298
173.jpg,500,334,pothole_water,170,101,340,166
174.jpg,800,516,pothole_water,38,179,718,516
175.jpg,800,600,damage,159,103,585,478
176.jpg,325,216,pothole,93,159,152,198
176.jpg,325,216,damage,163,111,241,144
176.jpg,325,216,damage,232,149,299,188
176.jpg,325,216,damage,55,114,110,156
177.jpg,821,434,pothole,259,158,664,365
178.jpg,960,960,pothole_water,342,499,675,692
178.jpg,960,960,pothole_water,482,281,715,428
178.jpg,960,960,pothole_water,13,494,226,630
178.jpg,960,960,pothole_water,268,139,437,208
178.jpg,960,960,pothole_water,55,194,244,270
178.jpg,960,960,pothole_water,569,137,766,221
178.jpg,960,960,damage,791,50,960,241
179.jpg,960,720,pothole_water,202,328,791,699
179.jpg,960,720,pothole_water,633,134,957,308
179.jpg,960,720,damage,313,106,624,205
18.jpg,992,1473,pothole,304,906,674,1140
18.jpg,992,1473,pothole,597,127,983,336
180.jpg,970,430,pothole_water,328,114,785,327
180.jpg,970,430,damage,6,109,345,355
181.jpg,759,422,pothole_water,94,235,616,408
182.jpg,590,320,pothole,199,132,381,244
183.jpg,1024,768,pothole_water,301,505,562,609
183.jpg,1024,768,pothole_water,568,338,718,416
183.jpg,1024,768,pothole_water,364,424,505,514
184.jpg,759,422,pothole_water,307,340,476,420
184.jpg,759,422,pothole_water_m,111,361,297,422
184.jpg,759,422,pothole_water_m,44,122,248,238
185.jpg,400,300,pothole_water_m,31,97,190,160
185.jpg,400,300,pothole_water_m,1,225,108,300
186.jpg,986,554,pothole,601,441,841,554
186.jpg,986,554,damage,404,410,571,510
186.jpg,986,554,damage,380,515,595,554
186.jpg,986,554,damage,110,315,391,448
187.jpg,1000,665,pothole_water,265,260,659,466
188.jpg,895,468,pothole,574,266,779,418
188.jpg,895,468,pothole_water,347,212,465,274
189.jpg,640,480,pothole,240,132,560,416
19.jpg,570,321,pothole_water,384,231,486,285
19.jpg,570,321,pothole,25,244,98,288
19.jpg,570,321,pothole_water,248,259,304,289
19.jpg,570,321,pothole_water_m,158,136,300,182
190.jpg,1200,800,pothole_water,367,438,897,718
191.jpg,270,176,crack,46,88,205,154
191.jpg,270,176,damage,118,14,182,63
192.jpg,1200,600,pothole_water,69,257,994,529
193.jpg,1297,859,pothole,289,329,942,620
194.jpg,899,599,pothole,184,287,593,436
194.jpg,899,599,pothole,191,139,867,251
195.jpg,1306,980,pothole_water,494,375,739,457
195.jpg,1306,980,pothole_water,554,452,767,537
195.jpg,1306,980,pothole_water,647,530,792,622
196.jpg,400,267,pothole,254,82,363,146
197.jpg,1950,1460,pothole,454,907,1069,1189
197.jpg,1950,1460,pothole,1058,800,1451,1022
197.jpg,1950,1460,pothole,1269,641,1654,881
198.jpg,625,352,pothole,225,173,363,239
198.jpg,625,352,pothole,239,49,339,83
199.jpg,600,450,pothole_water,224,196,413,276
199.jpg,600,450,damage,11,232,186,336
199.jpg,600,450,pothole_water,452,111,537,154
2.jpg,770,470,pothole,356,200,681,401
20.jpg,534,401,pothole_water,1,246,534,401
200.jpg,625,352,pothole,321,164,484,213
200.jpg,625,352,damage,24,177,197,216
200.jpg,625,352,pothole,270,134,385,174
201.jpg,560,416,pothole,9,57,560,381
202.jpg,1200,800,damage,576,425,885,584
202.jpg,1200,800,crack,806,79,1200,170
202.jpg,1200,800,pothole,876,511,1026,568
203.jpg,650,433,pothole_water,47,261,624,420
203.jpg,650,433,pothole_water,222,209,411,266
204.jpg,969,1301,pothole_water,211,548,911,956
204.jpg,969,1301,pothole_water,281,412,479,488
204.jpg,969,1301,pothole,503,318,693,432
204.jpg,969,1301,damage,167,228,427,350
205.jpg,1536,2048,pothole_water,276,1151,1185,1639
205.jpg,1536,2048,pothole_water,1113,854,1454,1201
205.jpg,1536,2048,pothole_water,366,801,691,1011
206.jpg,625,352,pothole_water,77,193,543,352
206.jpg,625,352,damage,282,164,504,224
207.jpg,600,400,pothole_water,46,161,364,337
208.jpg,640,480,pothole_water,207,366,339,429
208.jpg,640,480,pothole_water,279,296,383,344
208.jpg,640,480,pothole_water,189,297,258,355
209.jpg,590,590,pothole_water,67,131,505,377
21.jpg,324,216,pothole_water,90,58,216,108
21.jpg,324,216,pothole_water,1,136,279,216
21.jpg,324,216,pothole_water,49,12,162,61
210.jpg,600,450,pothole_water,274,248,378,312
210.jpg,600,450,pothole_water_m,85,152,284,256
211.jpg,3200,1680,pothole_water,859,1146,1972,1639
212.jpg,720,405,pothole_water,434,173,624,291
212.jpg,720,405,pothole_water,1,161,282,379
213.jpg,1280,720,damage,175,398,1082,657
213.jpg,1280,720,damage,346,162,982,311
213.jpg,1280,720,damage,1,157,297,294
214.jpg,960,640,pothole,213,250,806,576
215.jpg,759,422,damage,1,281,211,421
215.jpg,759,422,pothole_water,403,292,759,422
216.jpg,268,178,damage,47,78,257,170
217.jpg,696,464,pothole_water,5,91,696,454
218.jpg,450,318,pothole,141,205,310,281
218.jpg,450,318,pothole,51,146,109,198
218.jpg,450,318,pothole_water,101,190,159,218
218.jpg,450,318,pothole_water,151,153,223,191
219.jpg,494,335,pothole_water,91,34,318,224
22.jpg,4032,3024,crack,8,1935,1558,3004
22.jpg,4032,3024,pothole,450,1496,2820,2296
220.jpg,450,600,pothole,173,240,308,360
221.jpg,1920,1080,pothole,784,169,1813,891
222.jpg,700,415,pothole,27,190,590,399
223.jpg,726,484,pothole_water,148,270,703,484
224.jpg,1280,720,pothole_water,353,416,614,513
224.jpg,1280,720,pothole_water,875,562,1092,642
224.jpg,1280,720,pothole_water,628,545,836,647
225.jpg,640,426,damage,5,298,273,374
225.jpg,640,426,damage,124,262,333,312
226.jpg,640,480,pothole_water,87,174,439,380
226.jpg,640,480,pothole_water,509,202,608,261
226.jpg,640,480,pothole_water,68,56,168,112
227.jpg,770,433,pothole_water,3,158,765,374
228.jpg,640,360,pothole_water,1,122,614,360
229.jpg,448,262,pothole_water,145,42,439,232
23.jpg,590,350,pothole_water_m,1,199,356,327
23.jpg,590,350,pothole_water_m,319,112,495,179
230.jpg,400,267,damage,180,159,286,189
230.jpg,400,267,damage,275,193,354,240
231.jpg,857,1289,damage,241,460,857,726
232.jpg,1200,800,pothole,387,461,828,634
232.jpg,1200,800,crack,581,602,1092,772
233.jpg,678,381,pothole_water,447,194,678,371
233.jpg,678,381,pothole,1,218,219,359
233.jpg,678,381,pothole_water_m,1,46,393,203
233.jpg,678,381,pothole,399,87,577,183
234.jpg,650,968,damage,73,358,292,496
234.jpg,650,968,damage,29,520,524,928
235.jpg,861,1281,damage,219,622,791,1101
235.jpg,861,1281,damage,470,503,672,701
235.jpg,861,1281,damage,248,415,532,548
235.jpg,861,1281,damage,40,564,358,654
235.jpg,861,1281,damage,511,391,683,513
236.jpg,856,1285,damage,703,193,856,324
236.jpg,856,1285,damage,1,622,144,736
236.jpg,856,1285,damage,393,224,623,350
237.jpg,518,345,damage,157,71,316,165
237.jpg,518,345,damage,334,199,504,336
237.jpg,518,345,damage,303,99,418,161
238.jpg,1600,1200,pothole,547,300,1177,788
238.jpg,1600,1200,pothole,262,218,634,442
238.jpg,1600,1200,crack,1098,712,1600,1109
239.jpg,720,410,damage,589,248,712,321
239.jpg,720,410,pothole,416,210,514,252
24.jpg,849,1291,pothole_water,27,239,343,399
24.jpg,849,1291,pothole_water,401,237,597,361
24.jpg,849,1291,pothole_water,629,559,849,721
24.jpg,849,1291,pothole_water,265,331,561,471
240.jpg,1500,1101,pothole,1011,356,1500,559
240.jpg,1500,1101,pothole,65,333,822,676
241.jpg,300,200,pothole_water,143,143,201,170
241.jpg,300,200,pothole_water,110,99,175,124
241.jpg,300,200,damage,168,117,280,142
242.jpg,450,600,damage,45,33,378,497
243.jpg,720,405,pothole_water,430,180,629,266
243.jpg,720,405,pothole_water,351,118,564,189
243.jpg,720,405,pothole_water,1,191,290,352
244.jpg,921,596,pothole,37,162,438,353
245.jpg,204,170,damage,68,39,162,79
245.jpg,204,170,damage,50,75,92,143
246.jpg,624,351,pothole_water,38,190,473,332
247.jpg,534,401,pothole,263,191,501,281
247.jpg,534,401,pothole,393,123,525,187
248.jpg,135,180,pothole,7,91,99,151
248.jpg,135,180,pothole,47,65,90,86
248.jpg,135,180,pothole,58,45,114,66
249.jpg,300,224,pothole,90,65,280,197
249.jpg,300,224,damage,10,22,116,98
249.jpg,300,224,crack,1,103,114,179
25.jpg,450,337,pothole,161,114,386,185
250.jpg,350,378,pothole,87,228,182,304
250.jpg,350,378,pothole,142,206,213,252
250.jpg,350,378,pothole,48,183,103,205
250.jpg,350,378,pothole,1,217,65,253
250.jpg,350,378,pothole,172,188,234,215
251.jpg,1297,861,damage,213,352,1230,782
251.jpg,1297,861,damage,18,182,547,350
251.jpg,1297,861,damage,681,57,1281,260
252.jpg,1297,855,damage,447,296,1176,503
253.jpg,450,300,pothole,42,172,212,249
253.jpg,450,300,pothole,251,235,424,291
253.jpg,450,300,pothole,223,209,267,234
254.jpg,752,564,pothole,250,248,483,388
255.jpg,1920,1080,pothole_water,580,373,1243,677
255.jpg,1920,1080,pothole,1258,588,1791,869
256.jpg,1215,682,pothole_water,885,466,1155,559
256.jpg,1215,682,pothole_water_m,185,505,594,661
257.jpg,400,266,pothole,243,15,385,62
257.jpg,400,266,damage,3,99,140,248
257.jpg,400,266,pothole,114,66,178,107
257.jpg,400,266,damage,258,93,400,226
258.jpg,960,540,pothole_water,569,291,915,466
258.jpg,960,540,pothole_water_m,26,376,260,522
258.jpg,960,540,pothole_water,344,364,486,449
258.jpg,960,540,pothole_water,404,433,520,522
259.jpg,760,503,pothole,1,347,241,440
259.jpg,760,503,pothole,466,181,574,238
26.jpg,1300,866,pothole,319,466,765,577
26.jpg,1300,866,pothole,243,559,1117,866
260.jpg,2525,1590,crack,1702,847,2417,1214
260.jpg,2525,1590,damage,764,866,1464,1247
260.jpg,2525,1590,damage,1,876,693,1266
260.jpg,2525,1590,damage,683,638,1550,961
261.jpg,400,300,pothole,115,164,348,267
262.jpg,842,561,pothole_water,250,418,401,498
262.jpg,842,561,damage,345,306,536,366
262.jpg,842,561,damage,142,306,280,377
262.jpg,842,561,damage,591,377,818,504
262.jpg,842,561,damage,228,253,391,309
263.jpg,625,352,pothole_water,86,189,544,352
264.jpg,1200,1600,pothole_water,420,321,879,514
264.jpg,1200,1600,pothole_water,23,836,1152,1600
265.jpg,400,267,pothole_water,150,139,321,215
265.jpg,400,267,crack,1,136,122,263
265.jpg,400,267,pothole_water,116,99,253,146
266.jpg,759,422,pothole_water,403,264,511,320
266.jpg,759,422,pothole_water_m,224,310,364,370
266.jpg,759,422,pothole_water_m,253,247,347,330
266.jpg,759,422,pothole_water_m,554,197,756,337
267.jpg,518,355,pothole,391,231,486,317
267.jpg,518,355,pothole,331,109,423,170
267.jpg,518,355,pothole,274,136,334,183
268.jpg,1000,667,pothole_water,229,350,791,642
269.jpg,628,362,pothole_water,65,174,382,337
27.jpg,2500,1667,pothole_water,119,742,1752,1566
27.jpg,2500,1667,pothole,1328,599,2193,897
270.jpg,615,409,damage,26,237,415,398
271.jpg,618,410,pothole,220,270,342,328
271.jpg,618,410,damage,52,127,361,215
271.jpg,618,410,pothole,390,308,507,405
271.jpg,618,410,pothole_water,289,315,370,382
272.jpg,1500,1125,pothole,182,451,1159,962
273.jpg,300,200,pothole,43,23,282,163
274.jpg,610,450,pothole_water,360,264,594,380
274.jpg,610,450,pothole_water,146,214,353,278
274.jpg,610,450,pothole_water,67,251,219,328
275.jpg,306,588,pothole,118,349,270,398
275.jpg,306,588,damage,17,262,138,319
275.jpg,306,588,damage,77,157,211,222
275.jpg,306,588,damage,48,399,286,502
276.jpg,640,480,pothole,225,220,451,333
276.jpg,640,480,pothole_water,155,159,238,208
276.jpg,640,480,damage,480,237,613,350
277.jpg,800,530,pothole,11,95,780,451
278.jpg,640,480,pothole,146,195,430,347
279.jpg,647,404,pothole_water,188,307,491,404
279.jpg,647,404,pothole_water,409,227,632,362
28.jpg,535,443,pothole_water,11,18,441,438
280.jpg,534,401,pothole_water,168,191,362,270
280.jpg,534,401,crack,311,234,532,390
280.jpg,534,401,crack,358,131,518,230
280.jpg,534,401,crack,170,115,340,202
281.jpg,1299,855,damage,695,281,1295,527
281.jpg,1299,855,damage,353,245,717,469
282.jpg,678,381,pothole_water_m,74,191,310,305
282.jpg,678,381,pothole_water,218,322,334,374
283.jpg,857,1285,damage,162,640,797,1272
283.jpg,857,1285,pothole,491,352,727,434
283.jpg,857,1285,pothole,570,434,772,532
283.jpg,857,1285,pothole,201,381,338,462
284.jpg,620,410,pothole_water_m,84,159,351,283
284.jpg,620,410,crack,434,102,514,188
285.jpg,200,150,pothole,63,66,127,101
285.jpg,200,150,crack,151,67,197,98
285.jpg,200,150,crack,12,74,61,103
286.jpg,1280,720,pothole_water,307,469,1233,633
286.jpg,1280,720,pothole_water,650,316,963,430
287.jpg,784,441,pothole_water,568,104,774,301
287.jpg,784,441,pothole_water,173,290,332,401
287.jpg,784,441,pothole_water,365,378,458,441
287.jpg,784,441,pothole_water_m,425,147,550,281
288.jpg,1024,683,pothole,485,329,778,583
289.jpg,636,437,pothole_water,362,271,548,395
289.jpg,636,437,pothole_water,453,223,631,314
289.jpg,636,437,pothole_water,331,149,449,238
289.jpg,636,437,pothole_water,243,139,312,194
29.jpg,200,200,pothole,21,91,173,126
29.jpg,200,200,pothole,6,121,197,193
29.jpg,200,200,pothole,60,49,110,66
290.jpg,400,160,pothole,1,52,72,107
291.jpg,2048,1365,damage,1403,525,2010,1248
291.jpg,2048,1365,damage,468,752,1460,1179
292.jpg,1080,675,damage,390,207,994,286
292.jpg,1080,675,pothole,1,350,549,675
292.jpg,1080,675,pothole,431,284,567,344
293.jpg,895,800,pothole,163,384,575,584
294.jpg,1280,720,pothole_water,1,474,1063,720
294.jpg,1280,720,pothole_water,567,289,907,381
295.jpg,960,541,pothole,162,105,680,352
295.jpg,960,541,pothole,604,314,960,541
296.jpg,1140,1508,pothole_water,347,844,900,1397
296.jpg,1140,1508,damage,277,435,789,690
296.jpg,1140,1508,crack,826,1014,1140,1374
297.jpg,400,300,pothole,11,129,396,267
298.jpg,800,450,pothole,99,170,718,335
298.jpg,800,450,pothole,80,281,386,423
299.jpg,1024,576,pothole,228,147,855,495
299.jpg,1024,576,crack,724,209,966,432
3.jpg,630,471,pothole,15,130,523,405
30.jpg,637,425,pothole,280,286,423,350
30.jpg,637,425,pothole_water,107,336,429,425
30.jpg,637,425,pothole,221,259,318,292
300.jpg,800,532,pothole_water,306,90,668,313
300.jpg,800,532,crack,47,244,492,503
301.jpg,1024,680,pothole_water,326,469,676,680
301.jpg,1024,680,pothole_water,834,392,1005,490
301.jpg,1024,680,pothole_water,660,328,814,438
301.jpg,1024,680,pothole_water,435,370,609,492
302.jpg,1293,859,pothole,921,327,1114,412
302.jpg,1293,859,damage,18,290,689,676
303.jpg,1024,768,pothole_water,480,388,857,591
303.jpg,1024,768,pothole_water,145,528,518,761
304.jpg,650,488,pothole,14,229,608,449
305.jpg,1200,600,pothole,324,84,878,582
306.jpg,1280,792,pothole_water,146,286,1153,715
307.jpg,3264,1836,damage,579,667,2048,1267
307.jpg,3264,1836,damage,1898,1217,2904,1761
307.jpg,3264,1836,damage,1266,211,2316,480
307.jpg,3264,1836,damage,2279,374,3264,736
308.jpg,1368,768,damage,296,402,927,623
308.jpg,1368,768,damage,991,389,1338,605
309.jpg,1000,569,pothole_water,252,280,961,542
31.jpg,991,1200,pothole_water,50,185,981,954
310.jpg,800,534,pothole_water,274,345,588,516
310.jpg,800,534,pothole_water,355,218,530,320
310.jpg,800,534,pothole_water,435,191,577,245
311.jpg,940,528,pothole_water,106,78,790,471
312.jpg,534,401,damage,129,193,518,263
312.jpg,534,401,damage,143,325,454,394
312.jpg,534,401,damage,1,311,129,365
312.jpg,534,401,damage,220,162,404,213
313.jpg,670,434,pothole,205,322,440,428
314.jpg,2592,1936,pothole_water,1018,1503,1618,1936
314.jpg,2592,1936,pothole_water,1728,1278,2228,1578
314.jpg,2592,1936,pothole_water,708,893,1078,1128
314.jpg,2592,1936,pothole_water,1813,913,2488,1203
315.jpg,400,266,pothole,115,197,355,258
316.jpg,600,400,pothole,316,220,531,315
317.jpg,576,768,pothole_water,188,557,325,674
317.jpg,576,768,pothole,354,415,429,467
317.jpg,576,768,pothole,153,452,227,500
317.jpg,576,768,damage,286,500,425,565
317.jpg,576,768,pothole_water,168,335,232,368
318.jpg,647,404,pothole_water_m,48,263,393,376
319.jpg,1200,800,pothole,103,18,1108,713
32.jpg,700,466,pothole_water_m,301,20,566,337
32.jpg,700,466,pothole_water,14,241,241,463
320.jpg,620,387,crack,29,25,320,368
320.jpg,620,387,pothole_water,306,33,540,346
321.jpg,968,681,pothole,342,333,682,440
321.jpg,968,681,pothole_water,84,455,959,662
322.jpg,400,225,pothole,18,88,127,123
322.jpg,400,225,pothole,179,116,392,190
323.jpg,1100,733,pothole_water,46,162,402,335
323.jpg,1100,733,pothole,142,300,1052,608
324.jpg,1299,861,damage,699,306,1014,469
325.jpg,1000,539,pothole_water,278,27,648,246
325.jpg,1000,539,pothole_water,823,52,993,173
325.jpg,1000,539,pothole_water,87,254,931,535
326.jpg,770,433,pothole_water,248,258,378,326
326.jpg,770,433,pothole_water,338,223,425,274
326.jpg,770,433,pothole_water,465,323,619,422
326.jpg,770,433,pothole_water,438,256,610,320
326.jpg,770,433,pothole_water,456,220,504,245
326.jpg,770,433,pothole_water,254,172,314,210
327.jpg,500,334,crack,344,198,454,248
327.jpg,500,334,crack,396,263,489,317
328.jpg,1140,500,pothole_water,38,43,1038,477
329.jpg,640,360,pothole,9,25,639,288
33.jpg,450,299,pothole,58,128,345,281
33.jpg,450,299,pothole,200,110,381,141
330.jpg,2800,1812,pothole_water,1208,1142,2260,1553
330.jpg,2800,1812,crack,2281,1258,2776,1648
331.jpg,1280,720,pothole_water,780,372,1143,603
331.jpg,1280,720,pothole_water,533,428,819,713
331.jpg,1280,720,pothole_water_m,460,220,787,394
332.jpg,2400,1600,pothole,848,731,1879,1513
332.jpg,2400,1600,pothole,911,386,1239,559
333.jpg,800,600,pothole,500,156,759,309
333.jpg,800,600,damage,435,46,568,136
334.jpg,1368,768,pothole_water,356,410,1346,752
335.jpg,420,315,pothole,155,140,246,228
335.jpg,420,315,crack,110,241,215,308
335.jpg,420,315,crack,313,213,407,312
336.jpg,845,563,pothole,232,175,794,508
337.jpg,1024,683,pothole_water,232,206,776,383
338.jpg,480,360,pothole_water,104,65,385,285
339.jpg,225,150,pothole_water,77,61,139,100
339.jpg,225,150,crack,10,69,75,106
34.jpg,800,600,pothole_water,494,87,774,256
340.jpg,1024,682,pothole,859,427,1024,485
340.jpg,1024,682,crack,634,546,1024,648
340.jpg,1024,682,damage,389,443,853,583
340.jpg,1024,682,damage,474,325,735,414
